dis: 1.877, predict: 5, model: efficientnet_b5
dis: 2.340, predict: 3, model: efficientnet_b1
dis: 0.630, predict: 3, model: resnet101
dis: 0.911, predict: 9, model: efficientnet_b1
dis: 6.695, predict: 0, model: resnet101
dis: 1.786, predict: 8, model: efficientnet_b5
dis: 3.795, predict: 8, model: efficientnet_b1
dis: 5.498, predict: 5, model: efficientnet_b5
dis: 5.229, predict: 6, model: resnet101
dis: 3.662, predict: 2, model: resnet101
dis: 2.449, predict: 5, model: efficientnet_b5
dis: 1.992, predict: 5, model: resnet101
dis: 2.355, predict: 9, model: resnet101
dis: 4.161, predict: 2, model: efficientnet_b5
dis: 2.111, predict: 9, model: efficientnet_b5
dis: 0.957, predict: 3, model: resnet101
dis: 2.934, predict: 0, model: efficientnet_b1
dis: 1.943, predict: 2, model: resnet101
dis: 1.918, predict: 5, model: efficientnet_b5
dis: 3.914, predict: 3, model: efficientnet_b5
dis: 3.113, predict: 8, model: resnet101
dis: 4.292, predict: 0, model: efficientnet_b5
dis: 7.135, predict: 3, model: efficientnet_b5
dis: 7.371, predict: 5, model: efficientnet_b5
dis: 2.391, predict: 5, model: efficientnet_b1
dis: 0.842, predict: 3, model: resnet101
dis: 2.166, predict: 7, model: efficientnet_b5
dis: 1.762, predict: 0, model: efficientnet_b1
dis: 3.076, predict: 3, model: resnet101
dis: 1.556, predict: 0, model: resnet101
hard voting:97.930, soft voting:98.090
