dis: 5.191, predict: 9, model: efficientnet_b3
dis: 3.239, predict: 0, model: efficientnet_b3
dis: 1.491, predict: 3, model: resnet152
dis: 6.064, predict: 3, model: resnet152
dis: 0.564, predict: 1, model: resnet152
dis: 3.465, predict: 2, model: efficientnet_b3
dis: 4.650, predict: 2, model: resnet152
dis: 6.087, predict: 9, model: efficientnet_b3
dis: 3.374, predict: 5, model: efficientnet_b3
dis: 1.300, predict: 3, model: efficientnet_b3
dis: 6.059, predict: 3, model: resnet152
dis: 1.763, predict: 1, model: efficientnet_b3
dis: 2.497, predict: 3, model: resnet152
dis: 5.334, predict: 9, model: efficientnet_b3
dis: 1.825, predict: 3, model: resnet152
dis: 8.474, predict: 0, model: resnet152
dis: 3.760, predict: 5, model: efficientnet_b3
dis: 5.985, predict: 0, model: efficientnet_b3
dis: 3.334, predict: 3, model: efficientnet_b3
dis: 9.866, predict: 2, model: resnet152
dis: 1.404, predict: 3, model: efficientnet_b3
dis: 2.258, predict: 3, model: resnet152
dis: 5.122, predict: 4, model: resnet152
dis: 5.017, predict: 8, model: resnet152
dis: 6.006, predict: 3, model: resnet152
dis: 6.423, predict: 1, model: efficientnet_b3
dis: 5.974, predict: 3, model: efficientnet_b3
dis: 2.482, predict: 2, model: efficientnet_b3
dis: 9.323, predict: 7, model: resnet152
dis: 3.980, predict: 5, model: resnet152
dis: 4.987, predict: 7, model: efficientnet_b3
dis: 7.844, predict: 4, model: efficientnet_b3
dis: 2.869, predict: 2, model: resnet152
dis: 3.581, predict: 0, model: resnet152
dis: 6.615, predict: 0, model: resnet152
dis: 7.782, predict: 2, model: resnet152
dis: 5.039, predict: 4, model: resnet152
dis: 4.097, predict: 9, model: efficientnet_b3
dis: 5.738, predict: 4, model: efficientnet_b3
dis: 2.084, predict: 3, model: efficientnet_b3
dis: 5.618, predict: 3, model: efficientnet_b3
dis: 15.889, predict: 0, model: resnet152
dis: 4.647, predict: 6, model: resnet152
dis: 1.881, predict: 9, model: efficientnet_b3
dis: 1.620, predict: 0, model: resnet152
dis: 3.921, predict: 8, model: resnet152
dis: 8.763, predict: 0, model: resnet152
dis: 1.477, predict: 3, model: resnet152
dis: 3.236, predict: 5, model: resnet152
dis: 5.166, predict: 5, model: efficientnet_b3
dis: 2.176, predict: 8, model: efficientnet_b3
dis: 1.614, predict: 8, model: efficientnet_b3
dis: 5.636, predict: 0, model: resnet152
dis: 9.826, predict: 2, model: resnet152
dis: 0.470, predict: 6, model: resnet152
dis: 3.166, predict: 9, model: efficientnet_b3
dis: 7.641, predict: 2, model: resnet152
dis: 2.265, predict: 0, model: efficientnet_b3
dis: 1.612, predict: 3, model: efficientnet_b3
dis: 2.711, predict: 6, model: efficientnet_b3
dis: 2.946, predict: 5, model: resnet152
dis: 4.297, predict: 1, model: efficientnet_b3
dis: 0.806, predict: 2, model: resnet152
dis: 3.610, predict: 3, model: efficientnet_b3
dis: 1.910, predict: 3, model: efficientnet_b3
dis: 4.505, predict: 8, model: efficientnet_b3
dis: 6.268, predict: 8, model: efficientnet_b3
dis: 3.380, predict: 5, model: efficientnet_b3
dis: 3.037, predict: 1, model: efficientnet_b3
dis: 5.097, predict: 3, model: resnet152
dis: 2.938, predict: 7, model: resnet152
dis: 3.352, predict: 5, model: efficientnet_b3
dis: 4.073, predict: 7, model: resnet152
dis: 0.886, predict: 5, model: resnet152
dis: 3.632, predict: 4, model: efficientnet_b3
dis: 6.990, predict: 6, model: resnet152
dis: 5.358, predict: 2, model: resnet152
dis: 4.708, predict: 5, model: efficientnet_b3
dis: 5.609, predict: 1, model: resnet152
dis: 11.180, predict: 2, model: resnet152
dis: 1.768, predict: 5, model: resnet152
dis: 3.661, predict: 3, model: resnet152
dis: 3.429, predict: 2, model: resnet152
dis: 10.335, predict: 2, model: resnet152
dis: 5.957, predict: 0, model: resnet152
dis: 2.779, predict: 0, model: efficientnet_b3
dis: 3.424, predict: 1, model: resnet152
dis: 7.622, predict: 5, model: resnet152
dis: 2.674, predict: 0, model: resnet152
dis: 1.374, predict: 5, model: efficientnet_b3
dis: 9.468, predict: 6, model: resnet152
dis: 2.682, predict: 7, model: efficientnet_b3
dis: 2.317, predict: 0, model: efficientnet_b3
dis: 1.972, predict: 3, model: efficientnet_b3
dis: 4.205, predict: 8, model: resnet152
dis: 5.281, predict: 5, model: resnet152
dis: 6.235, predict: 4, model: resnet152
dis: 6.622, predict: 3, model: resnet152
dis: 1.921, predict: 1, model: resnet152
dis: 3.943, predict: 3, model: efficientnet_b3
dis: 7.544, predict: 2, model: efficientnet_b3
dis: 3.390, predict: 7, model: efficientnet_b3
dis: 3.146, predict: 4, model: resnet152
dis: 7.297, predict: 7, model: resnet152
dis: 5.900, predict: 3, model: resnet152
dis: 1.523, predict: 1, model: resnet152
dis: 1.689, predict: 3, model: efficientnet_b3
dis: 2.773, predict: 1, model: efficientnet_b3
dis: 2.334, predict: 7, model: efficientnet_b3
dis: 6.274, predict: 2, model: resnet152
dis: 6.286, predict: 3, model: resnet152
