dis: 2.273, predict: 0, model: efficientnet_b1
dis: 2.497, predict: 3, model: resnet152
dis: 2.815, predict: 4, model: resnet50
dis: 1.367, predict: 0, model: efficientnet_b1
dis: 2.371, predict: 3, model: efficientnet_b1
dis: 8.634, predict: 3, model: resnet152
dis: 4.545, predict: 8, model: efficientnet_b1
dis: 2.276, predict: 5, model: resnet50
dis: 5.804, predict: 8, model: resnet152
dis: 1.429, predict: 3, model: resnet152
dis: 3.146, predict: 4, model: resnet152
dis: 3.166, predict: 8, model: resnet152
dis: 2.116, predict: 7, model: resnet152
dis: 2.492, predict: 5, model: resnet50
dis: 0.524, predict: 1, model: resnet50
dis: 1.917, predict: 9, model: resnet152
dis: 3.019, predict: 4, model: resnet50
dis: 1.787, predict: 3, model: resnet50
dis: 5.136, predict: 3, model: resnet152
dis: 1.647, predict: 6, model: resnet50
dis: 2.934, predict: 0, model: efficientnet_b1
dis: 1.833, predict: 3, model: efficientnet_b1
dis: 1.661, predict: 6, model: resnet152
dis: 6.824, predict: 0, model: resnet152
dis: 5.583, predict: 0, model: resnet152
dis: 2.554, predict: 3, model: resnet152
dis: 1.576, predict: 8, model: resnet50
dis: 3.863, predict: 2, model: resnet152
hard voting:97.920, soft voting:98.070
