dis: 1.801, predict: 9, model: resnet101
dis: 0.898, predict: 0, model: resnet101
dis: 1.491, predict: 3, model: resnet152
dis: 5.647, predict: 2, model: resnet101
dis: 2.903, predict: 0, model: resnet101
dis: 10.162, predict: 9, model: resnet101
dis: 2.907, predict: 6, model: resnet152
dis: 1.824, predict: 3, model: resnet152
dis: 4.824, predict: 3, model: resnet101
dis: 6.624, predict: 1, model: resnet152
dis: 3.179, predict: 7, model: resnet152
dis: 2.804, predict: 2, model: resnet101
dis: 4.353, predict: 9, model: resnet101
dis: 3.233, predict: 5, model: resnet101
dis: 2.584, predict: 0, model: resnet101
dis: 1.351, predict: 7, model: resnet152
dis: 1.488, predict: 3, model: resnet101
dis: 8.537, predict: 3, model: resnet101
dis: 8.891, predict: 6, model: resnet152
dis: 4.328, predict: 8, model: resnet152
dis: 3.266, predict: 4, model: resnet152
dis: 8.605, predict: 5, model: resnet152
dis: 7.192, predict: 3, model: resnet101
dis: 4.058, predict: 2, model: resnet152
dis: 1.258, predict: 4, model: resnet101
dis: 4.807, predict: 8, model: resnet101
dis: 7.880, predict: 1, model: resnet152
dis: 4.447, predict: 2, model: resnet101
dis: 5.139, predict: 4, model: resnet101
dis: 1.251, predict: 5, model: resnet152
dis: 3.720, predict: 3, model: resnet101
dis: 4.929, predict: 3, model: resnet152
dis: 4.587, predict: 4, model: resnet101
dis: 1.106, predict: 1, model: resnet101
dis: 6.191, predict: 4, model: resnet101
dis: 7.485, predict: 6, model: resnet152
dis: 1.680, predict: 5, model: resnet101
dis: 3.236, predict: 5, model: resnet152
dis: 4.291, predict: 3, model: resnet101
dis: 3.742, predict: 8, model: resnet101
dis: 1.028, predict: 2, model: resnet101
dis: 3.454, predict: 9, model: resnet101
dis: 1.163, predict: 5, model: resnet101
dis: 5.051, predict: 9, model: resnet101
dis: 11.441, predict: 5, model: resnet152
dis: 3.767, predict: 3, model: resnet101
dis: 3.415, predict: 5, model: resnet152
dis: 6.962, predict: 0, model: resnet101
dis: 10.101, predict: 2, model: resnet152
dis: 4.142, predict: 1, model: resnet101
dis: 1.490, predict: 3, model: resnet101
dis: 1.090, predict: 4, model: resnet101
dis: 3.121, predict: 3, model: resnet101
dis: 6.695, predict: 0, model: resnet101
dis: 1.003, predict: 5, model: resnet101
dis: 1.299, predict: 8, model: resnet152
dis: 2.938, predict: 7, model: resnet152
dis: 5.027, predict: 5, model: resnet152
dis: 3.413, predict: 4, model: resnet152
dis: 5.107, predict: 0, model: resnet152
dis: 6.918, predict: 1, model: resnet152
dis: 4.153, predict: 5, model: resnet101
dis: 5.329, predict: 5, model: resnet152
dis: 5.560, predict: 0, model: resnet152
dis: 2.948, predict: 4, model: resnet152
dis: 0.886, predict: 5, model: resnet152
dis: 1.345, predict: 4, model: resnet101
dis: 2.651, predict: 5, model: resnet101
dis: 4.504, predict: 4, model: resnet152
dis: 6.600, predict: 8, model: resnet152
dis: 3.429, predict: 2, model: resnet152
dis: 2.858, predict: 0, model: resnet101
dis: 3.261, predict: 9, model: resnet101
dis: 0.986, predict: 1, model: resnet152
dis: 2.787, predict: 7, model: resnet101
dis: 1.360, predict: 4, model: resnet152
dis: 4.236, predict: 5, model: resnet152
dis: 1.720, predict: 5, model: resnet152
dis: 2.241, predict: 4, model: resnet152
dis: 1.555, predict: 2, model: resnet101
dis: 1.830, predict: 3, model: resnet101
dis: 5.281, predict: 5, model: resnet152
dis: 6.622, predict: 3, model: resnet152
dis: 4.402, predict: 4, model: resnet152
dis: 2.575, predict: 5, model: resnet152
dis: 2.155, predict: 2, model: resnet152
dis: 1.976, predict: 3, model: resnet101
dis: 1.406, predict: 6, model: resnet152
dis: 3.146, predict: 4, model: resnet152
dis: 2.866, predict: 1, model: resnet152
dis: 1.716, predict: 9, model: resnet101
dis: 9.477, predict: 2, model: resnet152
dis: 4.630, predict: 5, model: resnet152
