dis: 2.340, predict: 3, model: efficientnet_b1
dis: 2.235, predict: 5, model: resnet50
dis: 2.939, predict: 3, model: resnet101
dis: 1.767, predict: 8, model: resnet50
dis: 1.647, predict: 6, model: resnet50
dis: 2.474, predict: 0, model: resnet50
dis: 4.142, predict: 1, model: resnet101
dis: 2.622, predict: 3, model: efficientnet_b1
dis: 3.121, predict: 3, model: resnet101
dis: 0.962, predict: 5, model: efficientnet_b1
dis: 2.362, predict: 3, model: resnet101
dis: 4.437, predict: 3, model: efficientnet_b1
dis: 2.624, predict: 5, model: resnet50
dis: 4.355, predict: 2, model: resnet101
dis: 1.716, predict: 9, model: resnet101
dis: 8.109, predict: 5, model: resnet50
dis: 3.044, predict: 0, model: resnet50
dis: 1.632, predict: 4, model: resnet50
dis: 2.283, predict: 9, model: resnet101
dis: 2.355, predict: 9, model: resnet101
dis: 2.230, predict: 4, model: resnet101
dis: 5.533, predict: 2, model: resnet50
dis: 5.232, predict: 7, model: resnet50
dis: 1.202, predict: 4, model: resnet101
dis: 5.124, predict: 4, model: resnet50
dis: 2.829, predict: 5, model: resnet101
dis: 1.943, predict: 2, model: resnet101
dis: 2.390, predict: 0, model: resnet101
dis: 3.327, predict: 0, model: resnet101
dis: 0.756, predict: 3, model: resnet50
dis: 0.358, predict: 5, model: efficientnet_b1
dis: 0.842, predict: 3, model: resnet101
dis: 0.722, predict: 5, model: efficientnet_b1
dis: 3.805, predict: 7, model: resnet50
hard voting:97.720, soft voting:97.830
