dis: 2.753, predict: 6, model: resnet50
dis: 5.127, predict: 7, model: resnet101
dis: 1.881, predict: 9, model: efficientnet_b5
dis: 1.413, predict: 8, model: resnet101
dis: 3.116, predict: 9, model: resnet50
dis: 5.521, predict: 2, model: efficientnet_b5
dis: 3.610, predict: 3, model: efficientnet_b5
dis: 3.037, predict: 1, model: efficientnet_b5
dis: 1.875, predict: 1, model: resnet50
dis: 0.674, predict: 5, model: efficientnet_b5
dis: 3.261, predict: 9, model: resnet101
dis: 5.931, predict: 3, model: efficientnet_b5
dis: 3.662, predict: 2, model: resnet101
dis: 2.283, predict: 9, model: resnet101
dis: 2.355, predict: 9, model: resnet101
dis: 2.230, predict: 4, model: resnet101
dis: 5.232, predict: 7, model: resnet50
dis: 1.906, predict: 7, model: efficientnet_b5
dis: 5.124, predict: 4, model: resnet50
dis: 3.019, predict: 4, model: resnet50
dis: 3.984, predict: 1, model: efficientnet_b5
dis: 5.017, predict: 5, model: resnet101
dis: 2.833, predict: 4, model: efficientnet_b5
dis: 1.943, predict: 2, model: resnet101
dis: 1.918, predict: 5, model: efficientnet_b5
dis: 4.292, predict: 0, model: efficientnet_b5
dis: 4.905, predict: 5, model: resnet50
dis: 0.842, predict: 3, model: resnet101
dis: 1.906, predict: 0, model: resnet50
dis: 3.805, predict: 7, model: resnet50
dis: 1.556, predict: 0, model: resnet101
hard voting:97.940, soft voting:97.950
