dis: 2.907, predict: 6, model: resnet152
dis: 2.371, predict: 3, model: efficientnet_b1
dis: 1.106, predict: 1, model: resnet101
dis: 4.545, predict: 8, model: efficientnet_b1
dis: 1.163, predict: 5, model: resnet101
dis: 4.142, predict: 1, model: resnet101
dis: 2.622, predict: 3, model: efficientnet_b1
dis: 6.695, predict: 0, model: resnet101
dis: 1.299, predict: 8, model: resnet152
dis: 3.795, predict: 8, model: efficientnet_b1
dis: 4.236, predict: 5, model: resnet152
dis: 1.555, predict: 2, model: resnet101
dis: 2.064, predict: 2, model: efficientnet_b1
dis: 4.630, predict: 5, model: resnet152
dis: 1.992, predict: 5, model: resnet101
dis: 2.355, predict: 9, model: resnet101
dis: 2.230, predict: 4, model: resnet101
dis: 1.808, predict: 4, model: resnet101
dis: 4.295, predict: 7, model: resnet152
dis: 1.917, predict: 9, model: resnet152
dis: 0.957, predict: 3, model: resnet101
dis: 2.829, predict: 5, model: resnet101
dis: 2.934, predict: 0, model: efficientnet_b1
dis: 1.833, predict: 3, model: efficientnet_b1
dis: 1.943, predict: 2, model: resnet101
dis: 1.259, predict: 7, model: resnet101
dis: 1.257, predict: 3, model: resnet152
dis: 4.689, predict: 3, model: resnet152
dis: 4.621, predict: 3, model: efficientnet_b1
dis: 1.356, predict: 0, model: resnet101
dis: 2.049, predict: 7, model: resnet152
dis: 1.762, predict: 0, model: efficientnet_b1
hard voting:98.150, soft voting:98.170
