dis: 3.334, predict: 3, model: efficientnet_b5
dis: 1.881, predict: 9, model: efficientnet_b5
dis: 1.614, predict: 8, model: efficientnet_b5
dis: 3.610, predict: 3, model: efficientnet_b5
dis: 2.317, predict: 0, model: efficientnet_b5
dis: 7.544, predict: 2, model: efficientnet_b5
dis: 2.355, predict: 9, model: resnet101
dis: 2.230, predict: 4, model: resnet101
dis: 4.295, predict: 7, model: resnet152
dis: 3.984, predict: 1, model: efficientnet_b5
dis: 0.957, predict: 3, model: resnet101
dis: 2.833, predict: 4, model: efficientnet_b5
dis: 6.229, predict: 4, model: resnet152
dis: 1.527, predict: 5, model: resnet152
dis: 3.611, predict: 5, model: resnet101
dis: 1.356, predict: 0, model: resnet101
dis: 6.228, predict: 2, model: resnet101
dis: 3.076, predict: 3, model: resnet101
hard voting:98.380, soft voting:98.360
