dis: 5.077, predict: 3, model: resnet101
dis: 2.879, predict: 1, model: resnet101
dis: 1.877, predict: 5, model: efficientnet_b3
dis: 2.903, predict: 0, model: resnet101
dis: 0.727, predict: 0, model: resnet101
dis: 7.471, predict: 3, model: resnet101
dis: 1.981, predict: 9, model: resnet101
dis: 8.075, predict: 1, model: efficientnet_b3
dis: 3.639, predict: 7, model: efficientnet_b3
dis: 0.630, predict: 3, model: resnet101
dis: 2.804, predict: 2, model: resnet101
dis: 4.456, predict: 3, model: resnet101
dis: 5.493, predict: 0, model: resnet101
dis: 3.334, predict: 3, model: efficientnet_b3
dis: 7.148, predict: 2, model: resnet101
dis: 1.488, predict: 3, model: resnet101
dis: 2.970, predict: 3, model: resnet101
dis: 5.590, predict: 6, model: efficientnet_b3
dis: 5.204, predict: 4, model: resnet101
dis: 6.227, predict: 8, model: efficientnet_b3
dis: 3.014, predict: 8, model: resnet101
dis: 3.971, predict: 3, model: resnet101
dis: 6.423, predict: 1, model: efficientnet_b3
dis: 3.153, predict: 2, model: resnet101
dis: 3.743, predict: 5, model: efficientnet_b3
dis: 2.482, predict: 2, model: efficientnet_b3
dis: 5.127, predict: 7, model: resnet101
dis: 1.643, predict: 2, model: efficientnet_b3
dis: 3.144, predict: 5, model: resnet101
dis: 4.987, predict: 7, model: efficientnet_b3
dis: 4.807, predict: 8, model: resnet101
dis: 9.169, predict: 1, model: efficientnet_b3
dis: 11.374, predict: 2, model: resnet101
dis: 4.871, predict: 0, model: resnet101
dis: 4.447, predict: 2, model: resnet101
dis: 9.268, predict: 0, model: resnet101
dis: 8.604, predict: 2, model: resnet101
dis: 3.499, predict: 4, model: resnet101
dis: 8.182, predict: 1, model: resnet101
dis: 11.972, predict: 0, model: resnet101
dis: 3.509, predict: 5, model: resnet101
dis: 4.587, predict: 4, model: resnet101
dis: 0.949, predict: 6, model: resnet101
dis: 1.881, predict: 9, model: efficientnet_b3
dis: 4.443, predict: 0, model: resnet101
dis: 6.191, predict: 4, model: resnet101
dis: 1.413, predict: 8, model: resnet101
dis: 5.947, predict: 0, model: resnet101
dis: 8.630, predict: 6, model: efficientnet_b3
dis: 5.166, predict: 5, model: efficientnet_b3
dis: 4.291, predict: 3, model: resnet101
dis: 1.614, predict: 8, model: efficientnet_b3
dis: 0.699, predict: 0, model: resnet101
dis: 3.165, predict: 6, model: efficientnet_b3
dis: 3.454, predict: 9, model: resnet101
dis: 6.883, predict: 5, model: efficientnet_b3
dis: 3.767, predict: 3, model: resnet101
dis: 6.080, predict: 5, model: efficientnet_b3
dis: 3.979, predict: 2, model: resnet101
dis: 5.521, predict: 2, model: efficientnet_b3
dis: 1.612, predict: 3, model: efficientnet_b3
dis: 2.711, predict: 6, model: efficientnet_b3
dis: 1.375, predict: 5, model: resnet101
dis: 3.610, predict: 3, model: efficientnet_b3
dis: 4.505, predict: 8, model: efficientnet_b3
dis: 6.268, predict: 8, model: efficientnet_b3
dis: 6.695, predict: 0, model: resnet101
dis: 3.037, predict: 1, model: efficientnet_b3
dis: 1.786, predict: 8, model: efficientnet_b3
dis: 8.863, predict: 3, model: resnet101
dis: 0.674, predict: 5, model: efficientnet_b3
dis: 1.416, predict: 4, model: efficientnet_b3
dis: 1.063, predict: 0, model: efficientnet_b3
dis: 2.256, predict: 9, model: resnet101
dis: 3.443, predict: 5, model: efficientnet_b3
dis: 2.676, predict: 7, model: resnet101
dis: 2.032, predict: 0, model: efficientnet_b3
dis: 2.386, predict: 4, model: efficientnet_b3
dis: 4.583, predict: 6, model: resnet101
dis: 7.183, predict: 2, model: resnet101
dis: 5.746, predict: 4, model: efficientnet_b3
dis: 1.187, predict: 1, model: resnet101
dis: 7.574, predict: 2, model: resnet101
dis: 2.061, predict: 2, model: resnet101
dis: 2.107, predict: 5, model: resnet101
dis: 7.269, predict: 3, model: resnet101
dis: 9.228, predict: 2, model: resnet101
dis: 10.179, predict: 0, model: resnet101
dis: 0.950, predict: 1, model: resnet101
dis: 3.261, predict: 9, model: resnet101
dis: 2.127, predict: 1, model: efficientnet_b3
dis: 5.931, predict: 3, model: efficientnet_b3
dis: 8.679, predict: 5, model: resnet101
dis: 6.280, predict: 0, model: resnet101
dis: 5.498, predict: 5, model: efficientnet_b3
dis: 1.113, predict: 3, model: resnet101
dis: 5.229, predict: 6, model: resnet101
dis: 2.317, predict: 0, model: efficientnet_b3
dis: 1.892, predict: 8, model: resnet101
dis: 4.898, predict: 3, model: efficientnet_b3
dis: 8.763, predict: 4, model: efficientnet_b3
dis: 1.334, predict: 1, model: resnet101
dis: 1.065, predict: 5, model: efficientnet_b3
dis: 4.025, predict: 2, model: efficientnet_b3
dis: 7.544, predict: 2, model: efficientnet_b3
dis: 3.390, predict: 7, model: efficientnet_b3
dis: 2.532, predict: 1, model: efficientnet_b3
dis: 1.786, predict: 7, model: resnet101
dis: 3.486, predict: 3, model: resnet101
dis: 3.662, predict: 2, model: resnet101
dis: 6.299, predict: 2, model: efficientnet_b3
dis: 3.477, predict: 0, model: resnet101
dis: 2.432, predict: 3, model: resnet101
dis: 10.813, predict: 2, model: resnet101
dis: 4.266, predict: 3, model: resnet101
dis: 5.345, predict: 5, model: resnet101
dis: 2.449, predict: 5, model: efficientnet_b3
dis: 4.049, predict: 3, model: efficientnet_b3
dis: 3.869, predict: 1, model: resnet101
dis: 7.486, predict: 4, model: resnet101
dis: 4.437, predict: 3, model: resnet101
dis: 8.344, predict: 8, model: efficientnet_b3
dis: 7.270, predict: 5, model: efficientnet_b3
dis: 4.851, predict: 8, model: resnet101
dis: 2.283, predict: 9, model: resnet101
dis: 4.408, predict: 3, model: resnet101
dis: 3.897, predict: 2, model: efficientnet_b3
dis: 3.561, predict: 4, model: efficientnet_b3
dis: 3.260, predict: 6, model: resnet101
dis: 3.370, predict: 4, model: resnet101
dis: 4.458, predict: 9, model: resnet101
dis: 2.249, predict: 3, model: resnet101
dis: 3.450, predict: 3, model: resnet101
dis: 2.892, predict: 4, model: efficientnet_b3
dis: 1.413, predict: 3, model: resnet101
dis: 1.992, predict: 5, model: resnet101
dis: 4.491, predict: 4, model: resnet101
dis: 2.767, predict: 3, model: resnet101
dis: 2.355, predict: 9, model: resnet101
dis: 2.230, predict: 4, model: resnet101
dis: 4.161, predict: 2, model: efficientnet_b3
dis: 2.632, predict: 3, model: efficientnet_b3
dis: 4.714, predict: 6, model: efficientnet_b3
dis: 2.393, predict: 3, model: resnet101
dis: 3.449, predict: 4, model: resnet101
dis: 5.436, predict: 4, model: resnet101
dis: 4.293, predict: 7, model: efficientnet_b3
dis: 4.542, predict: 3, model: efficientnet_b3
dis: 4.576, predict: 0, model: efficientnet_b3
dis: 1.906, predict: 7, model: efficientnet_b3
dis: 6.756, predict: 5, model: resnet101
dis: 1.868, predict: 3, model: efficientnet_b3
dis: 1.782, predict: 0, model: resnet101
dis: 5.890, predict: 4, model: efficientnet_b3
dis: 2.582, predict: 3, model: resnet101
dis: 0.311, predict: 4, model: resnet101
dis: 8.167, predict: 3, model: resnet101
dis: 4.132, predict: 4, model: resnet101
dis: 2.115, predict: 1, model: resnet101
dis: 3.964, predict: 6, model: efficientnet_b3
dis: 8.196, predict: 3, model: resnet101
dis: 3.218, predict: 4, model: resnet101
dis: 4.278, predict: 3, model: efficientnet_b3
dis: 0.491, predict: 5, model: efficientnet_b3
dis: 3.124, predict: 4, model: efficientnet_b3
dis: 1.840, predict: 3, model: efficientnet_b3
dis: 4.289, predict: 0, model: resnet101
dis: 2.295, predict: 0, model: resnet101
dis: 5.127, predict: 3, model: resnet101
dis: 2.764, predict: 9, model: efficientnet_b3
dis: 2.111, predict: 9, model: efficientnet_b3
dis: 3.697, predict: 3, model: efficientnet_b3
dis: 1.489, predict: 2, model: resnet101
dis: 5.053, predict: 8, model: efficientnet_b3
dis: 3.755, predict: 3, model: efficientnet_b3
dis: 3.057, predict: 2, model: resnet101
dis: 1.847, predict: 3, model: efficientnet_b3
dis: 3.001, predict: 9, model: resnet101
dis: 2.437, predict: 9, model: resnet101
dis: 5.650, predict: 3, model: resnet101
dis: 1.670, predict: 6, model: efficientnet_b3
dis: 3.925, predict: 3, model: efficientnet_b3
